timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.26,gnb,ue[6],0,60,1000,950,30,23.922,495.592,2.52318,DL,1000,0.02,1,1077.02,10.3041,4.21563,0,0,0,0,0,0,0,0
0.26,gnb,ue[7],0,60,1000,950,30,264.552,532.299,46.1853,DL,1000,0.02,1,845.944,16.2868,13.4034,33051.8,0,0.01,0,0,0,0,0
0.26,gnb,ue[8],0,60,1000,950,30,727.353,453.657,47.4872,DL,1000,0.02,1,566.568,14.5409,12.2568,26459.5,0,0.004,0,0,0,0,0
0.26,gnb,ue[9],0,60,1000,950,30,913.163,560.776,3.52198,DL,1000,0.02,1,399.671,16.8897,31.7145,33603.2,0,0.004,0,0,0,0,0
0.26,gnb,ue[10],0,60,1000,950,30,192.383,476.518,33.8514,DL,1000,0.02,1,936.186,11.7988,6.53977,0,0,0,0,0,0,0,0
0.26,gnb,ue[11],0,60,1000,950,30,572.302,464.366,85.2736,DL,1000,0.02,1,649.477,14.6986,1.25203,32201.6,0,0.004,0,0,0,0,0
0.26,gnb,ue[12],0,60,1000,950,30,363.079,492.083,26.7989,DL,1000,0.02,1,784.453,14.3768,11.5873,14272,0,0.01,0,0,0,0,0
0.26,gnb,ue[13],0,60,1000,950,30,64.3429,497.584,82.1303,DL,1000,0.02,1,1040.6,13.7768,9.72215,6650.94,0,0.004,0,0,0,0,0
0.26,gnb,ue[14],0,60,1000,950,30,371.879,476.987,57.155,DL,1000,0.02,1,786.775,15.4996,3.41667,32936.5,0,0.004,0,0,0,0,0
0.26,gnb,ue[15],0,60,1000,950,30,973.889,496.659,0.159457,DL,1000,0.02,1,455.072,14.2994,12.776,19572.1,0,0.01,0,0,0,0,0
0.26,gnb,ue[16],0,60,1000,950,30,130.011,494.425,77.9111,DL,1000,0.02,1,983.221,13.3508,3.41045,0,0,0,0,0,0,0,0
